\HA01KHI KMB 0420210205521     0000                                          0000
L1KMB-COM-14AB        AKA  KMB  2021-04-222021-06-01MOL SUCCESS                   SKMB-104021
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAHP92160-1423          00000400000000003370000BRLFOB              0000000576200
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAHQ92161-0232          00000400000000001800000BRLFOB              0000000310000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAHR92161-0342  KD      00000800000000006230000BRLFOB              0000000468000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAHS92161-0664          00000400000000001310000BRLFOB              0000000014000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAHT92161-0673          00000200000000000900000BRLFOB              0000000034000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAHU92161-0943          00000800000000000460000BRLFOB              0000000005000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAHV92161-0944          00000800000000000520000BRLFOB              0000000009000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAHW92171-0316          00000200000000000480000BRLFOB              0000000020000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAHX92171-0337          00000400000000001910000BRLFOB              0000000101600
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAHY92171-0817          00000200000000000410000BRLFOB              0000000011000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAHZ92171-1415          00000800000000000330000BRLFOB              0000000016000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIA92171-1819          00000400000000000820000BRLFOB              0000000016400
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIB92172-0238          00000400000000000100000BRLFOB              0000000030000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIC92172-0262          00000200000000000070000BRLFOB              0000000024000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAID92173-0082  1A      00000200000000001190000BRLFOB              0000000040000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIE92173-0868          00000400000000000550000BRLFOB              0000000018600
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIF92173-1022          00000400000000000290000BRLFOB              0000000013000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIG92173-1062          00000200000000000700000BRLFOB              0000000051000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIH92173-1368          00000200000000000500000BRLFOB              0000000030000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAII92173-1416          00000400000000000890000BRLFOB              0000000151000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIJ92192-0225          00000200000000000630000BRLFOB              0000000026000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIM92200-0220  1A      00000200000000003530000BRLFOB              0000000220000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIN92200-0296          00000200000000000620000BRLFOB              0000000177500
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIO92200-0352          00000400000000000740000BRLFOB              0000000085100
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIP92200-0363          00001400000000000880000BRLFOB              0000000031300
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIQ92200-1063          00000600000000000110000BRLFOB              0000000012000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIR92200-1388          00000400000000000160000BRLFOB              0000000001400
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIS92200-1482          00000400000000000600000BRLFOB              0000000079100
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIT92210-0188          00000200000000000150000BRLFOB              0000000031400
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIU92210-0223          00000200000000003990000BRLFOB              0000000152000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIV92210-0276          00000720000000000590000BRLFOB              0000000088000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIW92210-0276          00000480000000000590000BRLFOB              0000000088000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIX92210-0784          00000400000000001530000BRLFOB              0000000077300
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIY92210-0850          00000200000000003350000BRLFOB              0000000351000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAIZ92210-1081          00000400000000001580000BRLFOB              0000000086600
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAJA92210-1114          00000800000000000280000BRLFOB              0000000058000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAJB92210-1139          00000400000000000690000BRLFOB              0000000086200
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAJC92210-1139          00000400000000000690000BRLFOB              0000000086200
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031002 KMB-1MU-031AAJD92210-1352          00000800000000000250000BRLFOB              0000000054200
L3KMB-1MU-031         KMB-1MU-031    KMB-1MU-031003 OTPU6238450         000000006000530005300031
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031003 KMB-1MU-031AADK51044-0850          00000200000000020070000BRLFOB              0000000377000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031003 KMB-1MU-031AAIK92192-1385          00000400000000013430000BRLFOB              0000000540000
L4KMB-1MU-031         KMB-1MU-031    KMB-1MU-031003 KMB-1MU-031AAIL92192-1386          00000200000000007290000BRLFOB              0000000180000
L1KMB-1PA-047         AKA  KMB  2021-04-222021-06-01MOL SUCCESS                   SKMB-104021
L2KMB-1PA-047         KMB-1PA-047    ER400D-C3A1HA       0004700020
L3KMB-1PA-047         KMB-1PA-047    KMB-1PA-047001 OTPU6238450         000000054000560011100045
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047001 KMB-1PA-047AAAB11005-0668  3A      00000200000000142660000BRLFOB              0000018910000
L3KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 SEGU9906952         000000126001110011100080
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAA11004-0774          00000200000000017410000BRLFOB              0000000524000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAC11012-1362          00000200000000000850000BRLFOB              0000000133500
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAD11056-0238          00000200000000000610000BRLFOB              0000000032900
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAE11061-1337          00000200000000009410000BRLFOB              0000000287400
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAF12009-1073          00001600000000000670000BRLFOB              0000000058600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAG12011-1053          00003200000000000180000BRLFOB              0000000002600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAH12048-0111          00000200000000031210000BRLFOB              0000000793000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAI12053-0051          00000200000000002350000BRLFOB              0000000064700
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAJ120CA0610           00000400000000000130000BRLFOB              0000000045100
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAK130BA0510           00002000000000000080000BRLFOB              0000000031200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAL130CA0818           00000400000000000210000BRLFOB              0000000124000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAM130CB0620           00000200000000000160000BRLFOB              0000000069000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAN130CB0625           00000200000000000140000BRLFOB              0000000076000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAO13194-1096          00000200000000021470000BRLFOB              0000000750000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAP132BC0618           00000600000000000220000BRLFOB              0000000055400
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAQ14013-004           00000200000000000150000BRLFOB              0000000027800
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAR14092-1086          00000200000000000740000BRLFOB              0000000018400
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAS16007-0741          00001600000000000600000BRLFOB              0000000038500
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAT16066-0007          00000200000000013230000BRLFOB              0000000992200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAU16082-0784          00000200000000220710000BRLFOB              0000005865000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAV16126-0705          00000200000000023830000BRLFOB              0000000788000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAW16126-0744          00000200000000025620000BRLFOB              0000001285000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAX16126-1140          00000400000000001940000BRLFOB              0000000097000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAY21171-0751          00000400000000029550000BRLFOB              0000001077000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAAZ21176-0009          00000200000000007660000BRLFOB              0000000227200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABA21176-0048          00000200000000006210000BRLFOB              0000000059300
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABB21176-0704          00000200000000022050000BRLFOB              0000000288600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABC220AB0306           00000200000000000020000BRLFOB              0000000004700
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABD224AB0408           00000800000000000050000BRLFOB              0000000012200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABE39112-0030          00000200000000007040000BRLFOB              0000000253000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABF39112-1054          00000200000000005260000BRLFOB              0000000246300
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABG480J1400            00000200000000000070000BRLFOB              0000000005400
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABH482J0200            00000200000000000080000BRLFOB              0000000020000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABI49054-0001          00000200000000008580000BRLFOB              0000000499600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABJ49091-0001          00001600000000000200000BRLFOB              0000000010400
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABK49091-0001  KD      00001600000000000210000BRLFOB              0000000010400
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABL51044-0843          00000200000000015610000BRLFOB              0000000320600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABO550AA2015           00000400000000000030000BRLFOB              0000000003800
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABP550AA4035           00000400000000000130000BRLFOB              0000000035900
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABQ554DA0600           00000400000000000060000BRLFOB              0000000003900
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABR56033-0881          00000200000000000510000BRLFOB              0000000006600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABS56071-0838          00000200000000000970000BRLFOB              0000000006600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABT92002-1143          00000600000000000200000BRLFOB              0000000055400
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABU92005-0721          00000200000000001220000BRLFOB              0000000008500
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABV92015-1757          00001600000000000830000BRLFOB              0000000021200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABW92016-028           00000200000000000880000BRLFOB              0000000226200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABX92022-1116          00000200000000000450000BRLFOB              0000000122600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABY92022-1628          00000200000000000230000BRLFOB              0000000010000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AABZ92027-1651          00000800000000000510000BRLFOB              0000000066600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACA92028-1132          00000200000000000450000BRLFOB              0000000011000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACB92033-1054          00000800000000000050000BRLFOB              0000000004300
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACC92033-1102          00000400000000000070000BRLFOB              0000000004400
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACD92038-001           00000200000000000270000BRLFOB              0000000011900
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACE92039-0060          00001800000000000410000BRLFOB              0000000006000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACF92042-030           00000200000000000130000BRLFOB              0000000013300
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACG92043-0904          00000200000000000880000BRLFOB              0000000079600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACH92043-1263          00000800000000000100000BRLFOB              0000000019600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACI92043-1264          00000400000000000130000BRLFOB              0000000025600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACJ92043-1309  1A      00000400000000001320000BRLFOB              0000000020000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACK92043-4009          00000800000000000260000BRLFOB              0000000033800
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACL92045-1045          00000200000000005090000BRLFOB              0000000588800
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACM92046-1228          00000400000000005010000BRLFOB              0000000370000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACN92046-1273          00000200000000005430000BRLFOB              0000000339300
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACP92049-1426          00000800000000001240000BRLFOB              0000000070000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACQ92055-0074          00000400000000000430000BRLFOB              0000000003800
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACR92055-0143          00000800000000000790000BRLFOB              0000000024000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACS92055-0944          00000400000000000700000BRLFOB              0000000001500
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACT92055-1215          00000400000000000190000BRLFOB              0000000005000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACU92055-1555          00000200000000000200000BRLFOB              0000000002500
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACV92057-0602          00000200000000017370000BRLFOB              0000002476900
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACW92066-0003          00000200000000001020000BRLFOB              0000000115000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACX92070-0716          00000400000000004270000BRLFOB              0000000302200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACY92071-0785          00000200000000000560000BRLFOB              0000000065000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AACZ92075-161           00000400000000000230000BRLFOB              0000000008200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADA92092-0018          00000400000000002900000BRLFOB              0000000160000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADB92092-1075          00000400000000002540000BRLFOB              0000000150000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADC92093-1030          00000200000000000890000BRLFOB              0000000002500
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADD92139-0890          00000400000000001950000BRLFOB              0000000051600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADE92144-1818          00000200000000002370000BRLFOB              0000000266800
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADF92150-1880          00000200000000000340000BRLFOB              0000000062600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADG92151-1532          00000200000000000730000BRLFOB              0000000176100
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADH92151-1557          00000800000000001060000BRLFOB              0000000166000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADI92151-1605          00000400000000000340000BRLFOB              0000000086300
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADJ92151-1654          00001200000000000260000BRLFOB              0000000059500
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADK92151-1829          00000800000000000240000BRLFOB              0000000049000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADL92151-1930          00003200000000000280000BRLFOB              0000000066800
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADM92152-0286          00000200000000001320000BRLFOB              0000000026200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADN92152-0547          00000200000000000910000BRLFOB              0000000096700
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADO92152-0679          00000400000000001860000BRLFOB              0000000020000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADP92152-1074          00000200000000001460000BRLFOB              0000000075000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADQ92152-1971          00000400000000000880000BRLFOB              0000000054600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADR92153-0793          00000800000000000920000BRLFOB              0000000153000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADS92153-0817          00000200000000000280000BRLFOB              0000000044300
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADT92153-1526          00000800000000000290000BRLFOB              0000000062900
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADU92154-0117          00000400000000000360000BRLFOB              0000000067200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADV92154-0209          00002000000000000210000BRLFOB              0000000033100
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADW92154-0551          00000200000000000210000BRLFOB              0000000060000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADX92154-0917          00000400000000000220000BRLFOB              0000000028600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADY92154-0918          00000400000000000320000BRLFOB              0000000069800
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AADZ92154-0992          00000400000000000960000BRLFOB              0000000190000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEA92154-1009          00000200000000000400000BRLFOB              0000000080000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEB92154-1138          00000800000000001570000BRLFOB              0000000165000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEC92154-1421          00001200000000000210000BRLFOB              0000000028700
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAED92154-1646          00000400000000001160000BRLFOB              0000000160000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEE92154-1693          00000200000000000420000BRLFOB              0000000052400
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEF92154-1712          00000800000000001080000BRLFOB              0000000157000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEG92154-1838          00000200000000001220000BRLFOB              0000000158200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEH92154-1858          00000400000000000730000BRLFOB              0000000051100
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEI92154-1865          00001600000000000620000BRLFOB              0000000147000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEJ92154-1889          00001200000000000300000BRLFOB              0000000048500
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEK92154-1964          00000200000000002580000BRLFOB              0000000461100
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEL92154-2244          00000200000000000210000BRLFOB              0000000065000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEM92154-2302          00000400000000000210000BRLFOB              0000000073000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEN92154-3739          00000800000000000640000BRLFOB              0000000093000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEO92160-1190          00000200000000000230000BRLFOB              0000000011000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEP92161-0356          00000200000000005060000BRLFOB              0000001110800
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEQ92161-0700          00000200000000014030000BRLFOB              0000002120000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAER92161-1506          00000200000000001380000BRLFOB              0000000030000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAES92161-1531          00001920000000000460000BRLFOB              0000000010000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAET92161-1531          00000080000000000460000BRLFOB              0000000010000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEU92161-2102          00000400000000000520000BRLFOB              0000000026200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEV92171-0058          00000200000000003260000BRLFOB              0000000245600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEW92171-0818          00000200000000000490000BRLFOB              0000000029000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEX92171-0939          00000200000000000240000BRLFOB              0000000002700
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEY92171-2056          00000200000000000360000BRLFOB              0000000040000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAEZ92172-0262          00000800000000000070000BRLFOB              0000000024000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFA92173-0868          00001000000000000550000BRLFOB              0000000018600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFB92173-1229          00000200000000001060000BRLFOB              0000000015000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFC92173-1242          00000200000000000350000BRLFOB              0000000015000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFD92173-1688          00000800000000000960000BRLFOB              0000000146000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFE92192-1229          00000200000000007250000BRLFOB              0000000240400
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFF92192-1806          00000200000000008700000BRLFOB              0000000247800
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFG92192-1920          00000200000000010860000BRLFOB              0000000162400
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFH92192-1923          00000200000000004850000BRLFOB              0000000089000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFI92200-0157          00001000000000000150000BRLFOB              0000000000500
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFJ92200-0174          00000200000000000330000BRLFOB              0000000037300
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFK92200-0363          00001200000000000880000BRLFOB              0000000031300
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFL92200-0855          00000800000000000450000BRLFOB              0000000055600
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFM92210-0121          00000200000000000500000BRLFOB              0000000057000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFN92210-0498          00000400000000000830000BRLFOB              0000000021300
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFO92210-0850          00000200000000003350000BRLFOB              0000000351000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFP92210-1114          00000800000000000280000BRLFOB              0000000058000
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFQ92210-1139          00000400000000000690000BRLFOB              0000000086200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFR92210-1139          00000400000000000690000BRLFOB              0000000086200
L4KMB-1PA-047         KMB-1PA-047    KMB-1PA-047002 KMB-1PA-047AAFS92210-1139          00000400000000000690000BRLFOB              0000000086200
